date,fee,price,share,market_symbol,type,id
2023-06-06,0,73.52,0.1360026,NYSE#NEE,Buy,ef5ac4e2-8b4a-45f8-9450-e15663d698e5
2023-06-06,0,137.22,0.0688675,NYSE#ABBV,Buy,52b75f12-9c08-4a26-9ef3-7bd7276605ba
2023-06-06,0,283.6,0.0352599,NYSE#MCD,Buy,ffeb1025-40ec-4482-a312-186ae5bd58af
2023-06-06,0,221.28,0.0451907,NYSE#BLD,Buy,7593961b-341e-4e98-9277-1d771b474e8e
2023-06-06,0,71.96,0.0765639,NYSE#ADM,Buy,8762fc80-e227-4829-aec6-c32fde0dcb39
2023-06-06,0,160.13,0.0312234,NASDAQ#NXST,Buy,124b5bb8-2d0b-4a56-ba3d-5ce5cb24730c
2023-06-07,0,134.66,0.0371294,NYSE#ABBV,Buy,2af509a3-397e-41c9-b089-8287066bcc9c
2023-06-08,0.01,0.13,0.0000000,NYSE#ADM,Dividend,e677be02-8c7c-4ec0-96d1-74195ce6ddc7
2023-06-09,0,307.87,0.0324803,NYSE#ACN,Buy,fdc4dd23-c2b5-4278-adba-7b9c1f65b426
2023-06-09,0,285.93,0.0114010,NYSE#MCD,Buy,19983cdd-7a2e-449b-a5c8-296d6d2cceb0
2023-06-09,0.01,0.08,0.0000000,NASDAQ#MSFT,Dividend,9659b8b4-3ff6-47cf-a738-08d353e3348f
2023-06-10,0,0.02,0.0000000,NYSE#LLY,Dividend,18801705-2de5-463a-afc7-6f1d389230c3
2023-06-10,0.01,0.13,0.0000000,NYSE#XOM,Dividend,2b85b61f-5e50-445f-858f-7861bee32a7b
2023-06-12,0,272.16,0.0290268,NYSE#HCA,Buy,4250ef2c-3972-4a30-9030-2b5aa2985281
2023-06-12,0,134.98,0.0592671,NYSE#WCN,Buy,dfee996d-49f1-4bd0-931b-5ee9cd3e366f
2023-06-13,0.03,0.2,0.0000000,NYSE#CVX,Dividend,8e7a28b9-1088-46a8-a9b4-797270c34aad
2023-06-14,0,456.44,0.0219083,NYSE#UNH,Buy,4ee99059-4061-4f3c-a459-f924c25ee03d
2023-06-15,0,0.05,0.0000000,NYSE#NOC,Dividend,470d2edc-58c6-4436-9615-a600afed6653
2023-06-16,0.04,0.3,0.0000000,NYSE#O,Dividend,e763319a-c879-4b8a-8633-d3bc7e088874
2023-06-16,0.01,0.07,0.0000000,NASDAQ#UFPI,Dividend,0a7229fc-f22f-4145-8be3-7890be58be12
2023-06-16,0.02,0.15,0.0000000,NYSE#NEE,Dividend,64a3c971-88d3-43c6-929f-036f23bf7934
2023-06-16,0,76.07,0.1314440,NYSE#NEE,Buy,2844f41a-dab0-4467-84ce-403003763d19
2023-06-16,0,295.45,0.0275506,NYSE#MCD,Buy,9f62465f-7de4-4d14-9371-dad206ee5f46
2023-06-16,0,229.29,0.0436128,NYSE#V,Buy,e1ccb183-97b5-4ff1-8afa-47da13b37730
2023-06-20,0,215.91,0.0463151,NYSE#LOW,Buy,9a57a454-a90a-4eab-9487-576b051c4bb9
2023-06-20,0,454.02,0.0220253,NYSE#LLY,Buy,966ecded-8e8d-4b66-a37d-af3809210c42
2023-06-20,0,867.41,0.0051186,NASDAQ#AVGO,Buy,273c5831-2c50-413f-b4a7-60ef06ed55c4
2023-06-20,0,103.58,0.0965381,NYSE#TSM,Buy,adf42960-9b8f-487c-9e6f-7812a0fe5ba8
2023-06-20,0,71.73,0.1115200,NASDAQ#FTNT,Buy,6ac939aa-e301-4b69-b7d5-2bb839b77bab
2023-06-20,0,343.17,0.0291399,NASDAQ#VRTX,Buy,534f9035-f498-4891-8f4e-e91db3ade48e
2023-06-20,0,60.61,0.1649676,NYSE#O,Buy,f1bbd62f-b371-4f9d-8d6a-5eab97373c75
2023-06-22,0.01,0.07,0.0000000,NASDAQ#ODFL,Dividend,e0c7b280-9474-4fcf-a65d-def309f15ea5
2023-06-23,0.02,0.17,0.0000000,NYSE#LMT,Dividend,7dc1cc43-da1f-47ea-be1b-e073d3f2bc6a
2023-06-27,0.02,0.17,0.0000000,NYSE#UNH,Dividend,9da4cb6f-fa24-4eb8-b1b3-808d977802dd
2023-06-30,0,133.3,0.0375071,NYSE#ABBV,Buy,a697599a-ff37-47cf-9c52-e1c717e3faac
2023-06-30,0,162.97,0.0381051,NASDAQ#ENPH,Buy,630b3d00-78c7-43c0-9005-4394fc91dda5
2023-06-30,0,310.68,0.0160933,NYSE#ACN,Buy,ac3aa5c0-1753-49db-91b5-4b1c28efa35e
2023-06-30,0,263.4,0.0189823,NYSE#BLD,Buy,91967625-909d-49ac-aff0-e20b70cafcbc
2023-06-30,0,121.02,0.0413127,NASDAQ#GOOGL,Buy,156c6ae7-7866-4a84-897c-fae8f141926b
2023-06-30,0,286.06,0.0174788,NASDAQ#META,Buy,4e83456c-ecae-4dff-87c0-1d6f167ef19b
2023-07-01,0.02,0.15,0.0000000,NASDAQ#AVGO,Dividend,434505c7-5b37-4b2e-adbe-b43fcaff370b
2023-07-01,0,0.02,0.0000000,NYSE#HCA,Dividend,86db5a20-5d14-429c-b982-79662eb36fd0
2023-07-01,0.03,0.25,0.0000000,NASDAQ#PEP,Dividend,b1281135-f9ad-4954-acda-37a0e549fdb1
2023-07-03,0.02,0.16,0.0000000,NASDAQ#ADP,Dividend,b90d91f4-4e35-4ab8-bb3a-b692e5b76342
2023-07-14,0,0.06,0.0000000,NYSE#TSM,Dividend,f3911377-bea0-4460-85c4-cff3408e58c7
2023-07-15,0.05,0.35,0.0000000,NYSE#O,Dividend,e54fdc0d-3f08-4560-b9f5-e238c19c4e70
2023-07-25,0,63.06,0.1733050,NYSE#O,Buy,886b4601-c004-414f-bbc0-18fc3782d7d5
2023-07-28,0,0.05,0.0000000,NYSE#DHR,Dividend,0a76d7fd-5a89-4206-a204-6fca32acd7c5
2023-07-31,0.0213,420.99,0.0238243,NASDAQ#ODFL,Buy,7e684cf9-d78c-4787-bb2c-1f35322f8120
2023-07-31,0.01,446.52,0.0111751,NYSE#LMT,Buy,fd8ee55c-31b1-4492-9a12-ed3277302a4b
2023-07-31,0.0213,231.59,0.0430933,NYSE#HSY,Buy,e490acd1-f92d-45e3-9656-4584aa8a8162
2023-07-31,0.0213,57.06,0.1748852,NASDAQ#MNST,Buy,9629af27-b594-4ab8-aec7-063eb2951d4b
2023-07-31,0.01,153.28,0.0325539,NASDAQ#ENPH,Buy,a006a882-50f2-4f0b-9748-e9dee24e3aaf
2023-07-31,0.01,239.32,0.0208500,NASDAQ#SEDG,Buy,67384817-3852-492f-8900-7e4e3b87600a
2023-07-31,0.0213,444.68,0.0224430,NYSE#NOC,Buy,b3f44757-b2da-452b-9a7c-8fe27e12941f
2023-07-31,0.01,290.13,0.0245060,NYSE#MCD,Buy,2f465549-e001-40e8-8291-854c2ebbc2d2
2023-07-31,0.01,73.63,0.0677676,NYSE#NEE,Buy,5dc6fe7f-3fd1-4f37-a04a-7b7435be827f
2023-08-01,0.02,0.16,0.0000000,NYSE#JPM,Dividend,18d90559-6700-4ccf-a2ac-6374a35f9bd0
2023-08-05,0,56.99,0.1814098,NASDAQ#FTNT,Buy,f5383862-75e7-4eab-84cf-a61ae658fc1f
2023-08-05,0.01,142.41,0.0445895,NYSE#WCN,Buy,4c87b6f6-ff2f-4ff3-81e3-94950531a754
2023-08-05,0.0213,268.95,0.0371064,NYSE#HCA,Buy,37fd6c7b-fb69-4cc7-ae0c-c6512cb76b97
2023-08-05,0.0213,184.07,0.0542185,NASDAQ#SEDG,Buy,248b2ff8-abb1-425a-baca-84d08738d35f
2023-08-08,0.01,0.12,0.0000000,NYSE#DE,Dividend,d2b9c69a-0fb1-4b2b-9f76-9521e0e4fde6
